gene	adipocytes	cd4	MVEC	m1_macro	m2_macro
ENSG00000001617.7	41.97310653317385	1.0	183.79908102807178	1.282928139977142	1.0460164224686144	
ENSG00000002587.5	1.0	2.1021393332686094	1.8880923873674613	4.429040115945963	184.685259120947	
ENSG00000002933.3	1.0	1.0	1.0	147.38239153833106	27.533569605568058	
ENSG00000004468.8	1.0	156.47040109683894	1.0	838.1450800298336	4.141029377733233	
ENSG00000005108.11	1.5840690039268805	1.0	47.44076386496343	1.0	1.0	
ENSG00000005844.13	1.0	1030.0652750588954	1.0	139.83404186455198	77.73422238834448	
ENSG00000006075.11	1.0	1.72017315293949	1.0668113588975843	746.7212420310182	189.5350154561715	
ENSG00000006210.6	1.0	1.0	130.70460119213016	8.64954173750954	1.0	
ENSG00000006606.4	1.0	1.0	1.0	1.0	95.53028144886983	
ENSG00000007264.9	1.0	35.12160218622961	1.0	1.0	50.8080423364198	
ENSG00000007312.8	1.0	59.16943008484243	1.0	1.0	1.0	
ENSG00000007908.11	1.0	1.0	243.65284935599993	6.2287718949720805	1.009847815356994	
ENSG00000008394.8	858.6095474666391	1.0	53.633602557179955	41.960972047498956	23.053121437525604	
ENSG00000009790.10	1.0	446.6284188651245	1.0	6.272956640392849	9.656022476480285	
ENSG00000009950.11	229.93483675018592	1.0	1.0	1.0	2.7238132067974163	
ENSG00000010030.9	1.0	1.9815218575385236	1.0	123.12574670480234	1.0	
ENSG00000010319.2	120.24721067272716	1.0	48.81759356391576	1.0	1.0	
ENSG00000010327.6	1.0	1.0299483470304391	901.8505371071708	70.32313526538647	4121.903129599897	
ENSG00000011600.7	1.0	1.0	1.0	483.42421398260626	856.403051293611	
ENSG00000012124.10	1.0	127.20540057886058	1.0	1.0	1.0	
ENSG00000013293.5	2.31597800722629	1.0	60.4104456020683	1.0	1.0	
ENSG00000013297.6	112.67699981563925	1.0	1295.0377103796397	6.7235345414913645	31.452279911865666	
ENSG00000013725.10	1.0	1117.884572275314	1.0	1.5962242332350978	1.0	
ENSG00000015133.14	4.516596259303377	452.5019763465289	47.66022407741758	6.524905140310963	5.430420804982454	
ENSG00000017427.11	24.945448455033937	1.0	3.906773103933477	1.0	61.68078978171137	
ENSG00000018280.12	1.338882423327388	1.0	1.0	59.782728597826306	112.9104646265823	
ENSG00000018625.10	257.8024228681064	1.0	1.0	1.0	1.0	
