gene	adipo1	dermal_MVEC	macro3	tcell3	DC	SmoothMuscle	Neutrophils
ENSG00000186092.4	0	0	0	0	0	0	0
ENSG00000237683.5	0	0.0361765300347863	8.31282225939086	1.73422790820829	81.7339586889328	0	693.055632204851
ENSG00000235249.1	0	0	0	0	0	0	0
ENSG00000185097.2	0	0	0	0	0	0	0
ENSG00000269831.1	0.14558808413943	0	0	0.0693691163283315	0.136223264481555	0.196270275946194	0.364996646410813
ENSG00000269308.1	0	0	0	0	0	0	0
ENSG00000187634.6	0.0727940420697151	0.108529590104359	0.0488989544670051	0.0693691163283315	0.136223264481555	0.785081103784778	0
ENSG00000268179.1	0	0	0	0	0	0.196270275946194	0
ENSG00000188976.6	46.4425988404783	50.104494098179	29.094877907868	39.2629198418356	39.9815281253363	79.4894617582088	2.48197719559353
ENSG00000187961.9	3.3485259352069	32.160935200925	16.4300487009137	38.8467051438656	26.2229784126993	4.12167579487008	4.0879624398011
ENSG00000187583.6	0.0727940420697151	2.71323975260897	0.19559581786802	8.94861600635477	0.340558161203887	0.294405413919292	0
ENSG00000187642.5	0	0.687354070660939	0.0488989544670051	2.84413376946159	0.0681116322407773	0	0
ENSG00000188290.6	1.31029275725487	48.0786084162309	0.0488989544670051	0	58.7122269915501	0.0981351379730972	3.72296579339029
ENSG00000187608.5	4.87720081867091	23.9126863529937	82.7370309581726	49.182703476787	36.4397232488159	26.9871629426017	64.9694030611247
ENSG00000188157.9	19.945567527102	528.17733850788	112.858786909848	17.8278628963812	11.4427542164506	10.4023246251483	6.71593829395896
ENSG00000237330.2	0	0	0	0	0	0	0
ENSG00000131591.13	4.29484848211319	14.1088467135666	12.0291427988832	27.1233244843776	22.340615374975	3.82727038095079	2.26297920774704
ENSG00000162571.9	0	0	0	1.04053674492497	0.0681116322407773	0	0
ENSG00000186891.9	0	0.0723530600695725	0.39119163573604	27.400800949691	0.136223264481555	0	0.145998658564325
ENSG00000186827.6	0.0727940420697151	7.74177742744426	0.733484317005076	24.3485598312444	0.0681116322407773	0	2.11698054918271
ENSG00000078808.12	77.1616845938981	233.230089134267	135.792396554873	124.031979995057	101.826890199962	8.34148672771327	72.9993292821625
ENSG00000176022.3	37.4889316659033	71.1954111084594	42.5420903862944	42.8701138909089	24.1115178132352	26.3983521147632	1.7519839027719
ENSG00000184163.3	0.14558808413943	0.434118360417435	0.537888499137056	1.3180132102383	2.17957223170488	0.294405413919292	4.30696042764759
